id,university_name,program_name,country_id,location,campus,level_of_study,degree_15yr_accepted,portal_or_direct,duration_in_months,duration_in_years,pace_of_study,teaching_form,language_of_study,private_or_public,currency,application_fee,admission_fee,initial_deposit,scholarship,Scholarship_Criteria,concentration,tuition_fee_per_semester,tuition_fee_per_year,tuition_fee_per_course,credits,per_credit_rate,gre_score,gmat_score,sat_score,act_score,ielts,ielts_nblt,toefl,toefl_nblt,duolingo,duolingo_nblt,pte,pte_nblt,backlogs,moi_accepted,wes_required,aps_required,inter_english_first_year,inter_english_second_year,intakes,deadlines,gap_accepted,without_maths,stateboard_accepted,entry_requirement_out_of4,entry_requirement_out_of5,entry_requirement_out_of10,entry_requirement_out_of100,english_requirement_icse,english_requirement_cbse,english_requirement_ib,english_requirement_others,age_gap_upto,noticeable_academic_gap,data,created_at,updated_at
,Towson University,"Art, Studio M.F.A.",2,Maryland,Towson,Master,"Art, Studio M.F.A.",Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Arts & Humanities,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Athletic Training M.S.,2,Maryland,Towson,Master,Athletic Training M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Other,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Biology M.S.,2,Maryland,Towson,Master,Biology M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Science,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,"Child Life, Administration and Family Collaboration M.S.",2,Maryland,Towson,Master,"Child Life, Administration and Family Collaboration M.S.",Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Other,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Communication and Advocacy M.A.,2,Maryland,Towson,Master,Communication and Advocacy M.A.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Other,10478,20955,41910,33,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Communication Management M.S.,2,Maryland,Towson,Master,Communication Management M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Business & Management,11430,22860,45720,36,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Computer Science M.S.,2,Maryland,Towson,Master,Computer Science M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Computer Science & IT,10478,20955,41910,33,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Dance Education M.A.,2,Maryland,Towson,Master,Dance Education M.A.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Education,11430,22860,45720,36,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Early Childhood Education M.Ed.,2,Maryland,Towson,Master,Early Childhood Education M.Ed.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Education,9525,19050,38100,30,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
,Towson University,Economic Analytics M.S.,2,Maryland,Towson,Master,Economic Analytics M.S.,Study Group,24 months,2 years,Yes for NAAC 'A' Uni.,On Campus,English,Public,$,0,,200,$1000 Annually on Application ,,Other,10478,20955,41910,33,"$1,270.00",3,0,,,,6.5,6.5,80,20,115,NA,57,NA,Flexible,No,Yes for 15 Yr. Edu,,,Spring,,,,Fall,,,,,,,,,,,,,
